units1,units2,dropout,l2_reg,lr,batch,train_acc,val_acc,test_acc
128,64,0.2,0.0001,0.0001,32,0.8071428537368774,0.7763158082962036,0.5121951103210449
64,16,0.4,0.001,0.0003,32,0.6821428537368774,0.7105262875556946,0.5853658318519592
256,16,0.5,0.0001,0.0001,16,0.7107142806053162,0.75,0.7317073345184326
256,16,0.4,0.01,0.0001,32,0.8142856955528259,0.8026315569877625,0.6585366129875183
32,64,0.4,0.001,0.001,16,0.8142856955528259,0.7631579041481018,0.7317073345184326
64,16,0.2,0.001,0.0001,64,0.7785714268684387,0.6710526347160339,0.6097561120986938
32,32,0.3,0.001,0.0001,32,0.7321428656578064,0.7236841917037964,0.5609756112098694
64,128,0.2,0.01,0.0001,32,0.8678571581840515,0.7236841917037964,0.6829268336296082
64,16,0.4,0.001,0.0003,32,0.7571428418159485,0.7631579041481018,0.5609756112098694
32,128,0.3,0.01,0.0003,32,0.8785714507102966,0.7105262875556946,0.6585366129875183
128,32,0.5,0.0001,0.0001,16,0.7535714507102966,0.7105262875556946,0.6341463327407837
256,128,0.5,0.01,0.0003,16,0.9357143044471741,0.7105262875556946,0.707317054271698
256,128,0.5,0.01,0.0003,64,0.8928571343421936,0.7368420958518982,0.6585366129875183
