units1,units2,dropout,l2_reg,lr,batch,train_acc,val_acc,test_acc
64,64,0.2,0.01,0.001,32,0.9642857313156128,0.7916666865348816,0.7777777910232544
128,32,0.2,0.001,0.0001,32,0.8178571462631226,0.75,0.8888888955116272
128,64,0.2,0.0001,0.0001,32,0.8107143044471741,0.75,0.8666666746139526
64,16,0.4,0.001,0.0003,32,0.7642857432365417,0.7361111044883728,0.8222222328186035
256,16,0.5,0.0001,0.0001,16,0.6214285492897034,0.5416666865348816,0.5111111402511597
256,16,0.4,0.01,0.0001,32,0.7535714507102966,0.7638888955116272,0.8888888955116272
32,64,0.4,0.001,0.001,16,0.7285714149475098,0.7361111044883728,0.7777777910232544
64,16,0.2,0.001,0.0001,64,0.7392857074737549,0.75,0.8222222328186035
32,32,0.3,0.001,0.0001,32,0.5607143044471741,0.4722222089767456,0.5111111402511597
64,128,0.2,0.01,0.0001,32,0.8464285731315613,0.7361111044883728,0.8888888955116272
64,16,0.4,0.001,0.0003,32,0.7821428775787354,0.75,0.8888888955116272
32,128,0.3,0.01,0.0003,32,0.8642857074737549,0.7361111044883728,0.7111111283302307
128,32,0.5,0.0001,0.0001,16,0.7071428298950195,0.6805555820465088,0.800000011920929
256,128,0.5,0.01,0.0003,16,0.9464285969734192,0.8194444179534912,0.8444444537162781
256,128,0.5,0.01,0.0003,64,0.8857142925262451,0.7638888955116272,0.8444444537162781
256,16,0.2,0.0001,0.001,64,0.9821428656578064,0.8194444179534912,0.8666666746139526
32,128,0.4,0.0001,0.0001,32,0.7035714387893677,0.75,0.9333333373069763
128,128,0.2,0.0001,0.001,32,0.9750000238418579,0.875,0.8222222328186035
64,16,0.4,0.001,0.001,64,0.7928571701049805,0.7083333134651184,0.8666666746139526
32,32,0.5,0.0001,0.0003,32,0.6964285969734192,0.6805555820465088,0.800000011920929
64,32,0.3,0.01,0.0001,64,0.6964285969734192,0.5694444179534912,0.7555555701255798
256,32,0.2,0.001,0.0001,64,0.8785714507102966,0.8472222089767456,0.7777777910232544
32,128,0.5,0.0001,0.0001,16,0.6892856955528259,0.6805555820465088,0.8888888955116272
32,128,0.3,0.0001,0.0001,64,0.7250000238418579,0.75,0.8666666746139526
32,64,0.5,0.001,0.0001,64,0.6571428775787354,0.6527777910232544,0.6888889074325562
256,128,0.4,0.001,0.0001,16,0.8071428537368774,0.8055555820465088,0.8888888955116272
128,16,0.4,0.0001,0.001,16,0.7892857193946838,0.7777777910232544,0.9333333373069763
64,16,0.2,0.001,0.0001,32,0.8107143044471741,0.7638888955116272,0.8666666746139526
32,64,0.4,0.0001,0.0001,16,0.6642857193946838,0.7222222089767456,0.7333333492279053
