MFCC_mean_1          , MFCC_mean_2          , MFCC_mean_3           , MFCC_mean_4          , MFCC_mean_5           , MFCC_mean_6           , MFCC_mean_7          , MFCC_mean_8           , MFCC_mean_9          , MFCC_mean_10         , MFCC_mean_11         , MFCC_mean_12         , MFCC_mean_13         , MFCC_std_1          , MFCC_std_2           , MFCC_std_3            , MFCC_std_4            , MFCC_std_5           , MFCC_std_6           , MFCC_std_7           , MFCC_std_8           , MFCC_std_9           , MFCC_std_10          , MFCC_std_11           , MFCC_std_12           , MFCC_std_13           , F0_mean              , F0_std                , label, gender, filename                              , speaker
-0.956699045625307   , -0.03673957493241902 , 1.0453343100182433    , -0.06190131437012009 , 0.5905615611709789    , 0.19875490293240278   , 0.4040421796406112   , 0.6290955692881247    , 0.367392622070481    , -0.04959238527356111 , -0.5015273624841449  , -0.43751145484891607 , -0.31686447325662215 , 1.7789597839252644  , 0.5266145902954342   , 0.38844943020111955   , 0.07142735632438048   , 0.7126334964024553   , 0.9766682521895024   , -0.14916804261390462 , 0.44524439854395004  , 0.4625024843944994   , 0.1429023761157203   , 1.4538656649094561    , 2.271287956925046     , -0.1960017880593317   , 0.7126760306395714   , -0.4143279476589401   , lie  , F     , trial_lie_001_speakerF_segment01.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D6963E0>
0.26722782098064424  , -0.17109934976429722 , 1.1448060831176894    , 0.47905567700585494  , -1.1400290153399733   , -1.168619804700957    , -0.5706145608645429  , -0.9608919965167091   , -0.5029914130953913  , -0.6719407844391428  , -0.25528545940547565 , -0.5411110578761358  , -1.0134432645230675  , -0.3414940545973193 , 1.8137478010361674   , 1.2268853909032273    , 1.8888274966504552    , 0.07819143729299606  , 1.780110790458828    , 0.5211562218892798   , 2.039845076721634    , 0.349027546316901    , 1.784986207339752    , 1.0413287032097875    , 0.9215694347561935    , -0.24931010156080252  , 0.9592342907237533   , -0.12733016172165756  , lie  , F     , trial_lie_002_speakerF_segment01.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D696480>
0.21682063744522487  , 0.5972681930748402   , 1.1199609210926968    , 0.0008747546203740932, -1.046281865538947    , -0.7388536499038115   , 0.050669901947823254 , 0.2369879059562973    , 0.1380440760312464   , -0.47239980887502386 , -0.043581246938007995, -0.1874999214204963  , -0.16399232135166733 , -0.3863582528660774 , 1.4018710170028674   , 1.4181506161133972    , 1.3459743922589558    , 1.6263133141504702   , 1.1186787030162497   , 0.6498662982669849   , 2.236416229729614    , 1.4405590172875151   , 2.210793739026085    , 0.9287153828765283    , 1.9198776606863615    , 0.39580923631593734   , 0.6839873703820096   , 1.2378117605634775    , lie  , F     , trial_lie_002_speakerF_segment02.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D696520>
0.22731282707065203  , -0.06474831165002748 , 0.577188986158175     , 0.15339391443535771  , -1.0415238427180389   , -1.2653134081216855   , -0.9739944550349936  , -0.6793292729440144   , -0.1437717493201522  , -0.7514804634227212  , -0.38911453178005456 , -0.5095290169199743  , -1.1178121881078367  , -0.36193575627137403, 1.8928939816526933   , 1.7960258240927887    , 1.2967848994991797    , -0.12935488640882986 , 1.4444005663623511   , 0.940880487950724    , 1.5321110742845778   , 0.49565426069457075  , 1.172215301788367    , 0.43092252516349877   , 1.1976606367900666    , 0.5966802436936367    , 0.8217397140139238   , 1.1937954198790712    , lie  , F     , trial_lie_002_speakerF_segment03.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D6965C0>
0.332781392446735    , -0.2007198819391251  , 0.5623569244771472    , -0.09951605365012765 , -1.1694498717926192   , -1.0899549224575356   , -0.4986366318243428  , -0.6554225674408091   , -0.8026143546807848  , -0.836840634292055   , -0.38575080896413494 , -0.31130223503801    , -1.021493782847057   , -0.3445006357630891 , 1.473749044055513    , 1.4903414887315463    , 1.1510574833716127    , 0.7160028794381292   , 1.4961069011406718   , 0.5143366895973662   , 0.7910709251872986   , 0.05325901813477891  , 1.246943856936529    , -0.6441306472163101   , 0.9221388846301722    , -0.1920769824529886   , 0.9881608912142417   , -0.33128290623569884  , lie  , F     , trial_lie_002_speakerF_segment04.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D696660>
0.18685940123337882  , -0.10978825681096498 , 0.4912550942591665    , -0.28358147069578266 , -1.1595391671527082   , -0.9394955755016938   , -0.24660149805004833 , -0.5774520535744652   , -0.011637232110183422, -0.19420831043850692 , 0.13392686530367084  , -0.3081171577155401  , -0.8004589479446057  , -0.32247771621166116, 1.6995653987775126   , 1.4446520935534484    , 1.8397833943844206    , 1.932140154893079    , 1.1827132132479081   , -0.06133399606310763 , 0.9419748614478052   , 0.09589225131813883  , 1.1158348549131178   , 0.3359590148991651    , 1.291101519399976     , 0.675688485580423     , 1.141197256114217    , 0.1844874232744199    , lie  , F     , trial_lie_002_speakerF_segment05.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D696700>
0.2011313854294923   , 0.25289347277226776  , 1.2730488644313849    , -0.022851414002595927, -1.0402202298392837   , -1.157836414825845    , -0.7256782310054307  , -0.6194542759783834   , -0.5101249232324897  , -1.1904130546989056  , -0.7335158800660841  , -0.6795770604684467  , -0.9662508923426743  , -0.3685981132926669 , 1.828439629745467    , 1.2803006768211789    , 0.7611724248638494    , 1.2423146107802499   , 0.7409438002583774   , -0.8930675624667529  , 0.9908481995351585   , -0.3700761715761625  , 1.5499374066855933   , -0.5892162701793064   , 0.9671598385818488    , -0.39112653836871775  , 0.5744914522587496   , 0.7849683769657285    , lie  , F     , trial_lie_002_speakerF_segment06.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D6967A0>
0.28353518515443105  , 0.4678412303289979   , 0.6300845298184783    , -0.14417430340696424 , -1.1281874244576486   , -0.924073113630471    , -0.2628511978965397  , -0.28442191398416955  , -0.250302238883633   , -1.2498068655828285  , -0.7658026342759009  , -1.0247760655370217  , -1.0512405784447327  , -0.39322833309343147, 1.3376019698108377   , 2.3045562461610256    , 0.4634927427442187    , 0.5034164787133075   , 0.7277465476397058   , -0.3746746609085305  , 2.0440775438820684   , 0.027607773594492218 , 1.2240890064638994   , -0.08190447942383067  , 1.0398508227231897    , 0.12466479267646893   , 0.8464976813989012   , -0.6174242345175736   , lie  , F     , trial_lie_002_speakerF_segment07.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D696840>
0.2866121771497509   , 0.15660930723207356  , 1.4762438635693869    , 0.12058490109304636  , -1.3048344672922971   , -1.5223625600547985   , -0.7152822626528025  , -0.15504485415941058  , -0.3712337552812573  , -1.1099836706051667  , -0.6780474363938859  , -0.48762834590785603 , -0.9165787324473827  , -0.445419530893994  , 1.6178480018413393   , 1.5455064074206342    , 1.3830083488633511    , 0.5704264929734896   , 0.633049719997738    , 0.12865894841496012  , 1.602967467713491    , -0.5360392938033527  , 1.6698807548622583   , -0.22704100011939066  , 0.8235118440486887    , -0.4557216680527668   , 0.8013294985955841   , 0.8445133139527456    , lie  , F     , trial_lie_002_speakerF_segment08.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D6968E0>
0.15495469067336756  , 0.2110542228064698   , 1.4457752513365503    , 0.24562078019492328  , -1.0239045174999308   , -1.313230717868401    , -0.5630305388643626  , -0.3493996802586379   , -0.4482981854617953  , -1.0999053116523394  , -0.7439548311111469  , -0.6312938565939462  , -0.9689130429781779  , -0.3968924456073887 , 1.4163925940768973   , 1.346933123989399     , 0.850443166164316     , 0.5652282598036368   , 0.7880831835544762   , 0.12742350968672445  , 1.499053884152692    , -0.6585407608036031  , 1.735627301918322    , -0.03850223521702355  , 1.7154384819959236    , -0.17706273664358646  , 0.6185998102502676   , 0.8071460840141695    , lie  , F     , trial_lie_002_speakerF_segment09.wav  , <function <lambda>.<locals>.<lambda> at 0x000002A89D696980>
