MFCC_mean_1        , MFCC_mean_2          , MFCC_mean_3          , MFCC_mean_4         , MFCC_mean_5         , MFCC_mean_6        , MFCC_mean_7          , MFCC_mean_8         , MFCC_mean_9          , MFCC_mean_10        , MFCC_mean_11        , MFCC_mean_12       , MFCC_mean_13        , MFCC_std_1         , MFCC_std_2         , MFCC_std_3         , MFCC_std_4         , MFCC_std_5         , MFCC_std_6        , MFCC_std_7         , MFCC_std_8         , MFCC_std_9         , MFCC_std_10        , MFCC_std_11        , MFCC_std_12        , MFCC_std_13        , F0_mean           , F0_std             , label, gender, filename
-71.63060797841702 , -0.8791099787704396  , 3.3838871684444602   , -4.696548351840702  , -9.777094716745403  , -10.015691644461253, -10.912484802556827  , -7.848804835928846  , -6.114038258760149   , -8.640419843805232  , -13.519558561262459 , -11.504045177755978, -8.578508192767718  , 58.364384166268074 ,  8.395131998840576 ,  8.623600725422477 , 10.146886695452682 , 11.30844938796225  , 13.94137833571316 , 12.32092957035615  , 11.85070963373684  , 12.150693332689503 , 11.393217242863349 , 12.258976961198384 , 13.034678277022682 ,  9.23370412901498  , 189.83569077557496, 14.260686948000838 , lie  , F     , trial_lie_001_speakerF_segment01.wav
-44.56775893254719 , -1.4644377084616806  , 3.7851502804587485   , -1.0535954633337963 , -21.828958252652313 , -20.824401370235332, -17.29349640073436   , -16.617158013393148 , -10.438598560980198  , -12.44967815149372  , -11.709404215068659 , -11.97917565808071 , -11.407482621482483 , 11.802143830478931 , 10.773856169194579 ,  9.870070354436304 , 13.517540426157561 , 10.279625334595945 , 15.604600266952474, 13.539944367096174 , 14.306935845257598 , 11.967493370721817 , 13.797148297850802 , 11.733383215218943 , 11.339444129801567 ,  9.16510863066     , 200.23585870086822, 17.4855764815138   , lie  , F     , trial_lie_002_speakerF_segment01.wav
-45.682336964998946, 1.8828947054339904   , 3.684926400638281    , -4.273797069384154  , -21.176101435091205 , -17.427221656999052, -13.22598914590484   , -10.011172988753605 , -7.253571588302601   , -11.228331523285147 , -10.153140656696582 , -10.35743750269223 , -7.957657523720727  , 10.81698794341756  , 10.012675233754452 , 10.154416810796937 , 12.510734164321551 , 12.790091028956173 , 14.235356915424672, 13.774009424714592 , 14.609722132166011 , 13.729719703302907 , 14.420509864053738 , 11.589907933301708 , 12.593310151680782 ,  9.995228354460078 , 188.62556346477848, 32.825178780394104 , lie  , F     , trial_lie_002_speakerF_segment02.wav
-45.4503389986654  , -1.0011278244757582  , 1.4954172671466557   , -3.2466911762014647 , -21.142966479592992 , -21.58873691474944 , -19.93439721863586   , -15.064415429117375 , -8.653792044574848   , -12.936523113841664 , -12.693198094084183 , -11.834333497969405, -11.831349985340907 , 11.353272268680158 , 10.920124582792104 , 10.716188958438565 , 12.41950453161531  ,  9.943064025416804 , 14.909640041842568, 14.303231805689734 , 13.524853169429665 , 12.204215319660594 , 12.90008142377427  , 10.95569370015943  , 11.686212160133591 , 10.253702989110819 , 194.43614756520762, 32.33058320045572  , lie  , F     , trial_lie_002_speakerF_segment03.wav
-43.118271665449214, -1.593477213565293   , 1.4355856280567694   , -4.9498563325028835 , -22.0338456199415   , -20.202577759607795, -16.82226177942525   , -14.932576387309759 , -11.927294844991952  , -13.458994032808722 , -12.668470956263604 , -10.925222040620888, -11.440177717517576 , 11.736123456780456 , 10.145511523612198 , 10.261740129962751 , 12.149230172140333 , 11.313913247525678 , 15.01667832509373 , 13.52754274118032  , 12.383399849541403 , 11.489988962857316 , 13.009480402680907 ,  9.586019521947152 , 11.340159353646868 ,  9.238754448164658 , 201.45602265930236, 15.193833815393349 , lie  , F     , trial_lie_002_speakerF_segment04.wav
-46.34482459800382 , -1.1973407824049986  , 1.1487651484956438   , -6.189403382250982  , -21.964827296667313 , -19.013239242742902, -15.172204846634259  , -14.502590003949326 , -7.9972730086181     , -9.525582262632406  , -8.84825681344478   , -10.91061457810292 , -10.54250195759763  , 12.21971638128562  , 10.562838041610538 , 10.193815510639626 , 13.426580442935359 , 13.28602600899623  , 14.367915993019542, 12.48065973092602  , 12.615843124360714 , 11.558818316986684 , 12.817543185128773 , 10.834705202824432 , 11.803573056013025 , 10.355368364929271 , 207.9113078851666 , 20.98935705227711  , lie  , F     , trial_lie_002_speakerF_segment05.wav
-46.02924973448641 , 0.38265348033530205  , 4.302473898203611    , -4.433575602421317  , -21.133888096333745 , -20.739161727897883, -18.30868773580085   , -14.734220947609904 , -10.474041875089817  , -15.623133414560357 , -15.224934527406791 , -12.614211086769027, -11.215823019148056 , 11.206976101702805 , 10.80100783288089  ,  9.94948075039077  , 11.426127153798154 , 12.167390978074778 , 13.45340059056446 , 10.968114865579617 , 12.6911246513897   , 10.806534166860034 , 13.45304825826336  ,  9.655983321108543 , 11.396705260979244 ,  8.982623601237753 , 184.00687441648918, 27.736742703036665 , lie  , F     , trial_lie_002_speakerF_segment06.wav
-44.20717878105902 , 1.319056381354851    , 1.7087946886951937   , -5.250597246366515  , -21.746493203264645 , -18.89132905039235 , -15.278590529796544  , -12.886607708975351 , -9.183095785830279   , -15.986669928574381 , -15.462278406440733 , -14.197369364342334, -11.560986626914648 , 10.66613046146686  ,  9.89390094164111  , 11.472201052679893 , 10.874033474025712 , 10.969178847679512 , 13.426080702779128, 11.910835651605208 , 14.31345528107694  , 11.448576232400562 , 12.97602201050656  , 10.3023251746582   , 11.488004473731763 ,  9.646328023236514 , 195.48047282206488, 11.9785679844459   , lie  , F     , trial_lie_002_speakerF_segment07.wav
-44.13914189735566 , -0.03680086968409115 , 5.122150226063394    , -3.467636079086295  , -22.9766663494497   , -23.620637646122624, -18.240626035844794  , -12.173128070515927 , -9.78395197570832    , -15.130842762006063 , -14.817179213893974 , -11.733892221812317, -11.014092400983051 ,  9.52008377501992  , 10.411817816502195 , 10.343751635856874 , 12.579419447887652 , 11.077843639834157 , 13.230046969125715, 12.826170437996463 , 13.633996062177468 , 10.538594494936454 , 13.628639500341501 , 10.117413628123039 , 11.216284690680528 ,  8.89950457493692  , 193.5752164908657 , 28.405827460732613 , lie  , F     , trial_lie_002_speakerF_segment08.wav
-47.05028534839336 , 0.2003840978128297   , 4.999241688471711    , -2.625610143193358  , -21.020265185592237 , -21.96750967469662 , -17.243844322897292  , -13.244942588838937 , -10.16685166367014   , -15.069155333195457 , -15.301672533276928 , -12.392773733939782, -11.226634654770114 , 10.585671606672303 , 10.039512258927452 , 10.048540577968422 , 11.591693751120646 , 11.069414079965982 , 13.550984739260462, 12.823923737153399 , 13.473933877852568 , 10.340821625652445 , 13.724889255208433 , 10.357621912246474 , 12.336536408819963 ,  9.2580743179199   , 185.86742587343133, 27.985945515191677 , lie  , F     , trial_lie_002_speakerF_segment09.wav
